ID,Sequence,Group
840500003,0,Group_1
840500002,0,Group_1
840020028,1,Group_1
840020027,1,Group_1
840150001,2,Group_1
840020012,3,Group_1
840020011,3,Group_1
840020010,3,Group_1
840230001,4,Group_1
840020019,5,Group_1
840020008,6,Group_1
840020009,6,Group_1
840010015,7,Group_1
840030025,8,Group_1
840190001,0,Group_2
840140001,1,Group_2
840100001,2,Group_2
840100002,2,Group_2
840030018,2,Group_2
840030016,2,Group_2
840030023,2,Group_2
840030015,2,Group_2
840030001,2,Group_2
840020013,3,Group_2
840030021,0,Group_3
840220014,1,Group_3
840020003,0,Group_4
840040003,0,Group_4
840040005,0,Group_4
840050026,1,Group_4
840050011,2,Group_4
840510001,3,Group_4
840120004,4,Group_4
840120003,4,Group_4
840220001,0,Group_5
840010001,1,Group_5
840010005,1,Group_5
840010002,1,Group_5
840010003,1,Group_5
840010004,1,Group_5
840200001,0,Group_6
840200002,0,Group_6
840020001,1,Group_6
840210002,2,Group_6
840210001,2,Group_6
840120001,3,Group_6
840120002,3,Group_6
840050014,4,Group_6
840030029,5,Group_6
840030028,5,Group_6
840040004,0,Group_7
840040001,0,Group_7
840070002,1,Group_7
840070001,1,Group_7
840010007,2,Group_7
840020007,0,Group_8
840030005,0,Group_8
840020004,1,Group_8
840020005,1,Group_8
840020016,1,Group_8
840020015,1,Group_8
840170001,0,Group_9
840500001,1,Group_9
840180002,2,Group_9
